Brand,Model,Series,Processor,Processor_Gen,RAM,Hard_Disk_Capacity,OS,Rating,Price
ASUS,VivoBook,15,i3,10th,4.0,1 TB HDD,Windows 10 Home,3.7,31940.0
HP,Notebook,PC,i3,11th,8.0,1 TB HDD,Windows 10,3.9,40940.0
APPLE,2020,Macbook,Missing,Missing,Missing,Missing,Missing,4.7,110940.0
APPLE,2020,Macbook,Missing,Missing,Missing,Missing,Missing,4.6,129990.0
ASUS,Chromebook,Celeron,Missing,Missing,4.0,64 GB EMMC Storage,Chrome OS,4.2,23490.0
DELL,Inspiron,Missing,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39090.0
DELL,Vostro,Missing,i3,11th,4.0,1 TB HDD,Missing,4.1,43126.0
Lenovo,IdeaPad,5,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.6,70940.0
DELL,Inspiron,Missing,i3,11th,8.0,1 TB HDD,Missing,4.1,48940.0
ASUS,Ryzen,5,5500U,Missing,8.0,512 GB SSD,Windows 10 Home,4.5,49940.0
HP,Pavilion,Gaming,i7,11th,16.0,512 GB SSD,Windows 10 Home,4.4,98140.0
Lenovo,IdeaPad,Slim,i3,11th,8.0,512 GB SSD,Windows 10 Home,4.4,45440.0
DELL,Vostro,Missing,i3,10th,8.0,512 GB SSD,Windows 10,3.9,43040.0
MICROSOFT,Surface,Laptop,i5,8th,8.0,128 GB SSD,Windows 10 Home,4.5,91949.0
ASUS,ROG,Strix,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.6,75940.0
ASUS,Vivobook,14,Missing,Missing,8.0,256 GB SSD,Windows 11 Home,4.3,32940.0
HP,Envy,Missing,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.3,74940.0
acer,Swift,3,i5,8th,8.0,1 TB HDD,Missing,4.6,59940.0
DELL,Inspiron,Missing,i5,11th,8.0,1 TB HDD,Missing,4.2,63610.0
HP,HP,Pavilion,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.5,71940.0
Lenovo,IDEAPAD,3,AMD,Ryzen™,8.0,512 GB SSD,Windows 10,3.7,59850.0
ASUS,ZenBook,Duo,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.4,114940.0
ASUS,Vivobook,14,i3,11th,4.0,256 GB SSD,Windows 10 Home,4.2,36940.0
Lenovo,Ideapad,Gaming,i5,10th,8.0,1 TB HDD,Missing,4.4,64940.0
Lenovo,Ideapad,530s,i5,8th,8.0,512 GB SSD,Windows 10 Home,4.4,59949.0
Lenovo,APU,Dual,A9,A99425,4.0,1 TB HDD,DOS,3.9,21846.0
DELL,3000,Missing,i3,11th,8.0,1 TB HDD,Windows 11 Home,4.2,43850.0
ASUS,Chromebook,Celeron,Missing,Missing,4.0,32 GB EMMC Storage,Chrome OS,3.6,17640.0
HP,250-G6,Missing,i5,7th,4.0,1 TB HDD,DOS,4.2,46150.0
acer,Travelmate,Missing,i5,11th,16.0,1 TB HDD,Missing,3.4,62440.0
HP,15q,Missing,i3,7th,4.0,1 TB HDD,DOS,4.2,32905.0
Lenovo,v15,Missing,i3,10th,4.0,1 TB HDD,DOS,3.1,39949.0
ASUS,Vivobook,15,i3,11th,8.0,1 TB HDD,Windows 10 Home,2.9,42750.0
acer,Aspire,Strix,4800H,Missing,16.0,32 GB EMMC Storage,chrome,0.3,48579.30209854344
ASUS,TUF,TUF,5600H,3rd,16.0,256 GB SSD,chrome,4.3,46773.80943948806
ASUS,Vivobook,Macbook,AMD,Ryzen™,8.0,32 GB EMMC Storage,Missing,1.6,43185.71594103883
HP,HP,7,4600H,3rd,Missing,128 GB SSD,dos,1.0,44280.210090144814
HP,Ryzen,5,4800H,11th,16.0,32 GB EMMC Storage,linux,0.1,58555.53301729492
APPLE,2020,3,i7,3rd,4.0,128 GB SSD,windows,1.5,45275.688290281556
MICROSOFT,Surface,5,i5,10th,4.0,32 GB EMMC Storage,Missing,0.9,50619.331925266146
DELL,Inspiron,7,Missing,Ryzen™,8.0,1 TB HDD,linux,2.4,67649.65048801921
HP,Notebook,Macbook,4600H,8th,8.0,1 TB HDD,Missing,5.0,61224.105606141115
DELL,Vostro,Celeron,A9,11th,16.0,64 GB EMMC Storage,chrome,1.9,59275.541421725764
Lenovo,APU,Macbook,i3,8th,4.0,1 TB SSD,windows,1.9,70364.86751246157
HP,Ryzen,7,i7,Ryzen™,8.0,256 GB SSD,chrome,4.5,69640.88264553047
